ASV	1CH	2	6	And the sons of Zerah: Zimri, and Ethan, and Heman, and Calcol, and Dara; five of them in all.
ASV	1CH	2	7	And the sons of Carmi: Achar, the troubler of Israel, who committed a trespass in the devoted thing.
ASV	1CH	2	8	And the sons of Ethan: Azariah.
ASV	1CH	2	9	The sons also of Hezron, that were born unto him: Jerahmeel, and Ram, and Chelubai.
ASV	1CH	2	10	And Ram begat Amminadab, and Amminadab begat Nahshon, prince of the children of Judah;
ASV	1CH	2	11	and Nahshon begat Salma, and Salma begat Boaz,
ASV	1CH	2	12	and Boaz begat Obed, and Obed begat Jesse;
ASV	1CH	2	13	and Jesse begat his first-born Eliab, and Abinadab the second, and Shimea the third,
ASV	1CH	2	14	Nethanel the fourth, Raddai the fifth,
ASV	1CH	2	15	Ozem the sixth, David the seventh;
ASV	1CH	2	16	and their sisters were Zeruiah and Abigail. And the sons of Zeruiah: Abishai, and Joab, and Asahel, three.
ASV	1CH	2	17	And Abigail bare Amasa; and the father of Amasa was Jether the Ishmaelite.
ASV	1CH	2	18	And Caleb the son of Hezron begat children of Azubah his wife, and of Jerioth; and these were her sons: Jesher, and Shobab, and Ardon.
ASV	1CH	2	19	And Azubah died, and Caleb took unto him Ephrath, who bare him Hur.
ASV	1CH	2	20	And Hur begat Uri, and Uri begat Bezalel.
ASV	1CH	2	21	And afterward Hezron went in to the daughter of Machir the father of Gilead, whom he took to wife when he was threescore years old; and she bare him Segub.
ASV	1CH	2	22	And Segub begat Jair, who had three and twenty cities in the land of Gilead.
ASV	1CH	2	23	And Geshur and Aram took the towns of Jair from them, with Kenath, and the villages thereof, even threescore cities. All these were the sons of Machir the father of Gilead.
ASV	1CH	2	24	And after that Hezron was dead in Caleb-ephrathah, then Abijah Hezron’s wife bare him Ashhur the father of Tekoa.
ASV	1CH	2	25	And the sons of Jerahmeel the first-born of Hezron were Ram the first-born, and Bunah, and Oren, and Ozem, Ahijah.
ASV	1CH	2	26	And Jerahmeel had another wife, whose name was Atarah; she was the mother of Onam.
ASV	1CH	2	27	And the sons of Ram the first-born of Jerahmeel were Maaz, and Jamin, and Eker.
ASV	1CH	2	28	And the sons of Onam were Shammai, and Jada. And the sons of Shammai: Nadab, and Abishur.
ASV	1CH	2	29	And the name of the wife of Abishur was Abihail; and she bare him Ahban, and Molid.
ASV	1CH	2	30	And the sons of Nadab: Seled, and Appaim; but Seled died without children.
ASV	1CH	2	31	And the sons of Appaim: Ishi. And the sons of Ishi: Sheshan. And the sons of Sheshan: Ahlai.
ASV	1CH	2	32	And the sons of Jada the brother of Shammai: Jether, and Jonathan; and Jether died without children.
ASV	1CH	2	33	And the sons of Jonathan: Peleth, and Zaza. These were the sons of Jerahmeel.
ASV	1CH	2	34	Now Sheshan had no sons, but daughters. And Sheshan had a servant, an Egyptian, whose name was Jarha.
ASV	1CH	2	35	And Sheshan gave his daughter to Jarha his servant to wife; and she bare him Attai.
ASV	1CH	2	36	And Attai begat Nathan, and Nathan begat Zabad,
ASV	1CH	2	37	and Zabad begat Ephlal, and Ephlal begat Obed,
ASV	1CH	2	38	and Obed begat Jehu, and Jehu begat Azariah,
ASV	1CH	2	39	and Azariah begat Helez, and Helez begat Eleasah,
ASV	1CH	2	40	and Eleasah begat Sismai, and Sismai begat Shallum,
ASV	1CH	2	41	and Shallum begat Jekamiah, and Jekamiah begat Elishama.
ASV	1CH	2	42	And the sons of Caleb the brother of Jerahmeel were Mesha his first-born, who was the father of Ziph; and the sons of Mareshah the father of Hebron.
ASV	1CH	2	43	And the sons of Hebron: Korah, and Tappuah, and Rekem, and Shema.
ASV	1CH	2	44	And Shema begat Raham, the father of Jorkeam; and Rekem begat Shammai.
ASV	1CH	2	45	And the son of Shammai was Maon; and Maon was the father of Beth-zur.
ASV	1CH	2	46	And Ephah, Caleb’s concubine, bare Haran, and Moza, and Gazez; and Haran begat Gazez.
ASV	1CH	2	47	And the sons of Jahdai: Regem, and Jothan, and Geshan, and Pelet, and Ephah, and Shaaph.
ASV	1CH	2	48	Maacah, Caleb’s concubine, bare Sheber and Tirhanah.
ASV	1CH	2	49	She bare also Shaaph the father of Madmannah, Sheva the father of Machbena, and the father of Gibea; and the daughter of Caleb was Achsah.
ASV	1CH	2	50	These were the sons of Caleb, the son of Hur, the first-born of Ephrathah: Shobal the father of Kiriath-jearim,
ASV	1CH	2	51	Salma the father of Beth-lehem, Hareph the father of Beth-gader.
ASV	1CH	2	52	And Shobal the father of Kiriath-jearim had sons: Haroeh, half of the Menuhoth.
ASV	1CH	2	53	And the families of Kiriath-jearim: The Ithrites, and the Puthites, and the Shumathites, and the Mishraites; of them came the Zorathites and the Eshtaolites.
ASV	1CH	2	54	The sons of Salma: Beth-lehem, and the Netophathites, Atroth-beth-joab, and half of the Manahathites, the Zorites.
ASV	1CH	2	55	And the families of scribes that dwelt at Jabez: the Tirathites, the Shimeathites, the Sucathites. These are the Kenites that came of Hammath, the father of the house of Rechab.
ASV	1CH	3	1	Now these were the sons of David, that were born unto him in Hebron: the first-born, Amnon, of Ahinoam the Jezreelitess; the second, Daniel, of Abigail the Carmelitess;
ASV	1CH	3	2	the third, Absalom the son of Maacah the daughter of Talmai king of Geshur; the fourth, Adonijah the son of Haggith;
ASV	1CH	3	3	the fifth, Shephatiah of Abital; the sixth, Ithream by Eglah his wife:
ASV	1CH	3	4	six were born unto him in Hebron; and there he reigned seven years and six months. And in Jerusalem he reigned thirty and three years;
ASV	1CH	3	5	and these were born unto him in Jerusalem: Shimea, and Shobab, and Nathan, and Solomon, four, of Bath-shua the daughter of Ammiel;
ASV	1CH	3	6	and Ibhar, and Elishama, and Eliphelet,
ASV	1CH	3	7	and Nogah, and Nepheg, and Japhia,
ASV	1CH	3	8	and Elishama, and Eliada, and Eliphelet, nine.
ASV	1CH	3	9	All these were the sons of David, besides the sons of the concubines; and Tamar was their sister.
ASV	1CH	3	10	And Solomon’s son was Rehoboam, Abijah his son, Asa his son, Jehoshaphat his son,
ASV	1CH	3	11	Joram his son, Ahaziah his son, Joash his son,
ASV	1CH	3	12	Amaziah his son, Azariah his son, Jotham his son,
ASV	1CH	3	13	Ahaz his son, Hezekiah his son, Manasseh his son,
ASV	1CH	3	14	Amon his son, Josiah his son.
ASV	1CH	3	15	And the sons of Josiah: the first-born Johanan, the second Jehoiakim, the third Zedekiah, the fourth Shallum.
ASV	1CH	3	16	And the sons of Jehoiakim: Jeconiah his son, Zedekiah his son.
ASV	1CH	3	17	And the sons of Jeconiah, the captive: Shealtiel his son,
ASV	1CH	3	18	and Malchiram, and Pedaiah, and Shenazzar, Jekamiah, Hoshama, and Nedabiah.
ASV	1CH	3	19	And the sons of Pedaiah: Zerubbabel, and Shimei. And the sons of Zerubbabel: Meshullam, and Hananiah; and Shelomith was their sister;
ASV	1CH	3	20	and Hashubah, and Ohel, and Berechiah, and Hasadiah, Jushab-hesed, five.
ASV	1CH	3	21	And the sons of Hananiah: Pelatiah, and Jeshaiah; the sons of Rephaiah, the sons of Arnan, the sons of Obadiah, the sons of Shecaniah.
ASV	1CH	3	22	And the sons of Shecaniah: Shemaiah. And the sons of Shemaiah: Hattush, and Igal, and Bariah, and Neariah, and Shaphat, six.
ASV	1CH	3	23	And the sons of Neariah: Elioenai, and Hizkiah, and Azrikam, three.
