"WordID","StrongsID"
"988","H6924"
"990","H5731"
"992","H8033"
"994","H7760"
"996","H120"
"997","H834"
"1000","H3335"
"1002","H4480"
"1005","H127"
"1006","H6779"
"1008","H3068"
"1009","H430"
"1011","H6779"
"1013","H6086"
"1016","H2530"
"1019","H4758"
"1021","H2896"
"1023","H3978"
"1025","H6086"
"1027","H2416"
"1031","H8432"
"1034","H1588"
"1037","H6086"
"1039","H1847"
"1041","H2896"
"1043","H7451"
"1046","H5104"
"1048","H3318"
"1050","H5731"
"1052","H8248"
"1054","H1588"
"1060","H6504"
"1064","H702"
"1065","H7218"
"1067","H8034"
"1070","H259"
"1072","H6376"
"1073","H1931"
"1077","H5437"
"1080","H776"
"1082","H2341"
"1083","H834"
"1086","H2091"
"1089","H2091"
"1091","H1931"
"1092","H776"
"1094","H2896"
"1097","H916"
"1100","H7718"
"1101","H68"
"1104","H8034"
"1107","H8145"
"1108","H5104"
"1110","H1521"
"1116","H5437"
"1119","H776"
"1121","H3568"
"1124","H8034"
"1127","H7992"
"1128","H5104"
"1130","H2313"
"1136","H1980"
"1138","H6926"
"1140","H804"
"1143","H7243"
"1144","H5104"
"1146","H6578"
"1149","H3068"
"1150","H430"
"1151","H3947"
"1153","H120"
"1156","H3240"
"1159","H1588"
"1161","H5731"
"1163","H5647"
"1167","H8104"
"1171","H3068"
"1172","H430"
"1173","H6680"
"1175","H120"
"1176","H559"
"1179","H6086"
"1182","H1588"
"1185","H398"
"1186","H398"
"1190","H6086"
"1193","H1847"
"1195","H2896"
"1197","H7451"
"1201","H398"
"1207","H3117"
"1210","H398"
"1214","H4191"
"1215","H4191"
"1218","H3068"
"1219","H430"
"1220","H559"
"1224","H2896"
"1227","H120"
"1229","H1961"
"1233","H6213"
"1237","H5828"
"1244","H127"
"1246","H3068"
"1247","H430"
"1248","H3335"
"1250","H2416"
"1253","H7704"
"1256","H5775"
"1259","H8064"
"1261","H935"
"1264","H120"
"1266","H7200"
"1270","H7121"
"1274","H120"
"1275","H7121"
"1277","H2416"
"1278","H5315"
"1279","H1931"
"1283","H8034"
"1285","H120"
"1286","H7121"
"1287","H8034"
"1290","H929"
"1294","H5775"
"1297","H8064"
"1301","H2416"
"1304","H7704"
"1307","H120"
"1311","H4672"
"1314","H5828"
"1319","H3068"
"1320","H430"
"1321","H5307"
"1324","H8639"
"1326","H5307"
"1328","H121"
"1331","H3462"
"1334","H3947"
"1335","H259"
"1338","H6763"
"1341","H5462"
"1343","H1320"
"1348","H6763"
"1351","H3068"
"1352","H430"
"1354","H3947"
"1356","H120"
"1357","H1129"
"1360","H802"
"1362","H935"
"1366","H120"
"1368","H120"
"1369","H559"
"1370","H2063"
"1372","H6471"
"1373","H6106"
"1376","H6106"
"1378","H1320"
"1381","H1320"
"1382","H2063"
"1385","H7121"
"1386","H802"
"1388","H2063"
"1390","H3947"
"1393","H376"
"1394","H3651"
"1397","H376"
"1398","H5800"
"1400","H1"
"1403","H517"
"1406","H1692"
"1409","H802"
"1414","H259"
"1415","H1320"
"1419","H8147"
"1420","H6174"
"1422","H120"
"1425","H802"
"1429","H954"
"1432","H5175"
"1433","H1961"
"1435","H6175"
"1438","H2416"
"1441","H7704"
"1444","H3068"
"1445","H430"
"1447","H6213"
"1450","H559"
"1453","H802"
"1454","H637"
"1456","H430"
"1457","H559"
"1461","H398"
"1464","H6086"
"1467","H1588"
"1470","H802"
"1471","H559"
"1474","H5175"
"1477","H398"
"1480","H6529"
"1483","H6086"
"1486","H1588"
"1490","H6529"
"1493","H6086"
"1498","H8432"
"1501","H1588"
"1502","H430"
"1504","H559"
"1508","H398"
"1514","H5060"
"1516","H6435"
"1518","H4191"
"1521","H5175"
"1522","H559"
"1525","H802"
"1529","H4191"
"1530","H4191"
"1532","H430"
"1534","H3045"
"1538","H3117"
"1540","H398"
"1544","H5869"
"1547","H6491"
"1553","H430"
"1554","H3045"
"1555","H2896"
"1557","H7451"
"1561","H802"
"1562","H7200"
"1565","H6086"
"1567","H2896"
"1569","H3978"
"1572","H1931"
"1574","H8378"
"1577","H5869"
"1580","H6086"
"1583","H2530"
"1587","H7919"
"1589","H3947"
"1593","H6529"
"1596","H398"
"1598","H5414"
"1599","H1571"
"1602","H376"
"1608","H398"
"1611","H5869"
"1614","H8147"
"1616","H6491"
"1618","H1992"
"1619","H3045"
"1623","H5903"
"1626","H8609"
"1627","H8384"
"1628","H5929"
"1629","H8609"
"1632","H6213"
"1633","H2290"
"1636","H8085"
"1638","H6963"
"1641","H3068"
"1642","H430"
"1643","H1980"
"1646","H1588"
"1649","H7307"
"1652","H3117"
"1654","H120"
"1657","H802"
"1659","H2244"
"1662","H6440"
"1665","H3068"
"1666","H430"
"1667","H8432"
"1669","H6086"
"1672","H1588"
"1675","H3068"
"1676","H430"
"1677","H7121"
"1679","H120"
"1681","H559"
"1686","H335"
"1689","H559"
"1691","H8085"
"1693","H6963"
"1696","H1588"
"1700","H3372"
"1702","H595"
"1704","H5903"
"1708","H2244"
"1711","H559"
"1712","H4310"
"1713","H5046"
"1718","H5903"
"1721","H398"
"1724","H6086"
"1728","H6680"
"1732","H1115"
"1733","H398"
"1736","H120"
"1737","H559"
"1739","H802"
"1742","H5414"
"1746","H5978"
"1747","H1931"
"1748","H5414"
"1752","H6086"
"1756","H398"
"1759","H3068"
"1760","H430"
"1761","H559"
"1764","H802"
"1771","H6213"
"1774","H802"
"1775","H559"
